Characteristics,Information
Marca,Apple
Series,"Apple MacBook Pro 16"" - Silber 2019 MVVL2D/A i7 2,6GHz, 16GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar"
Peso del producto,2 Kg
Dimensiones del producto,"44,2 x 32,8 x 11,8 cm"
Pilas:,"1 Litio Ion necesaria(s), incluida(s)"
Número de modelo del producto,MVVL2D/A
Dimensión de la pantalla,16 pulgadas
Fabricante del procesador,Intel
Tipo de procesador,Pentium
Velocidad del procesador,2
Número de procesadores,6
Capacidad de la memoria RAM,16 GB
Tecnología de la memoria,DDR4
Memoria máxima compatible,8 GB
Capacidad del disco duro,128 GB
Descripción del disco duro,Flash Memory Solid State
Interfaz del disco duro,Serial ATA
Marca de la tarjeta gráfica,Intel
Descripción de la tarjeta gráfica,Other
Tipo de memoria gráfica,DDR4 SDRAM
Interfaz de la tarjeta gráfica,Integrado
Número de puertos USB 3.0,2
Tipo de disco óptico,Keine
Sistema operativo,Windows 10
Contenido de energía de la batería de litio,38.2 watt_hours
Embalaje de la batería de litio,Baterías integradas en el equipo
Número de pilas de ion de litio,1
ASIN,B081FZHSLZ
Valoración media de los clientes,16 valoraciones de clientes
Clasificación en los más vendidos de Amazon,"nº2.470 en Informática (Ver el Top 100 en Informática)
n.° 121 en Portátiles"
Producto en Amazon.es desde,15 de noviembre de 2019
